PRINT-SPACINGS

/data/ryle/CYGNUSX1-990913/s15


 CYGNUSX1-990913  centred on  CYGNUS-X1                                         
 Merge of all spacings from AE 1-5/1-5                                          
 Samples From:    1   ST: 17.40.08   UT: 18.10   LSF buffer:    1               
           To: 1788   ST: 21.59.44   UT: 22.29   LSF buffer: 1788               

 Modified Julian date 51434.00  at 0h on 13 Sep 99

      ST         UT        cos            sin            amp        phase
18.02.56   18.33.41    0.13829E-01    0.18269E-01    0.22913E-01     52.9
18.03.04   18.33.49    0.96119E-02    0.32441E-02    0.10145E-01     18.6
18.03.12   18.33.57   -0.25582E-02   -0.65215E-02    0.70053E-02   -111.4
18.03.20   18.34.05    0.91332E-02   -0.60099E-02    0.10933E-01    -33.3
18.03.28   18.34.13   -0.17294E-02    0.12101E-03    0.17337E-02    176.0
18.03.36   18.34.21    0.23461E-02    0.42635E-02    0.48663E-02     61.2
18.03.44   18.34.29    0.15363E-01   -0.19116E-02    0.15481E-01     -7.1
18.03.52   18.34.37    0.20479E-01   -0.17678E-01    0.27054E-01    -40.8
18.04.00   18.34.45    0.24159E-01    0.39576E-02    0.24481E-01      9.3
18.04.08   18.34.53    0.12617E-01   -0.18228E-01    0.22169E-01    -55.3
18.04.16   18.35.01    0.14950E-01    0.10446E-01    0.18238E-01     34.9
18.04.24   18.35.09    0.12547E-01   -0.81445E-02    0.14958E-01    -33.0
18.04.32   18.35.17    0.15918E-01   -0.50096E-02    0.16688E-01    -17.5
18.04.40   18.35.25    0.15521E-01    0.18588E-02    0.15632E-01      6.8
18.04.48   18.35.32   -0.12718E-02    0.22501E-01    0.22537E-01     93.2
18.04.56   18.35.40    0.96838E-03   -0.65838E-03    0.11710E-02    -34.2
18.05.04   18.35.48    0.13374E-01   -0.23450E-02    0.13578E-01     -9.9
18.05.12   18.35.56   -0.22565E-02    0.19257E-02    0.29665E-02    139.5
18.05.20   18.36.04    0.86513E-02   -0.64615E-03    0.86754E-02     -4.3
18.05.28   18.36.12    0.22006E-02   -0.12730E-01    0.12919E-01    -80.2
18.05.36   18.36.20    0.83645E-02   -0.89358E-03    0.84121E-02     -6.1
18.05.44   18.36.28   -0.60213E-02    0.56726E-02    0.82725E-02    136.7
18.05.52   18.36.36    0.10840E-01   -0.12220E-01    0.16335E-01    -48.4
18.06.00   18.36.44   -0.18270E-01   -0.23261E-02    0.18418E-01   -172.7
18.06.08   18.36.52    0.37275E-02   -0.51071E-02    0.63228E-02    -53.9
18.06.16   18.37.00    0.61055E-02   -0.12959E-01    0.14325E-01    -64.8
18.06.24   18.37.08    0.69979E-02   -0.33029E-02    0.77382E-02    -25.3
18.06.32   18.37.16    0.53070E-02   -0.23469E-02    0.58028E-02    -23.9
18.06.40   18.37.24    0.20125E-01    0.17021E-01    0.26358E-01     40.2
18.09.28   18.40.12         0.             0.             0.          0.0
18.09.36   18.40.20         0.             0.             0.          0.0
18.09.44   18.40.28         0.             0.             0.          0.0
18.09.52   18.40.36         0.             0.             0.          0.0
18.10.00   18.40.44         0.             0.             0.          0.0
18.10.08   18.40.52    0.18537E-01   -0.74107E-02    0.19963E-01    -21.8
18.10.16   18.41.00   -0.11727E-01    0.11791E-01    0.16630E-01    134.8
18.10.24   18.41.08    0.79708E-02   -0.68602E-02    0.10516E-01    -40.7
18.10.32   18.41.16    0.34361E-02    0.12052E-01    0.12533E-01     74.1
18.10.40   18.41.24    0.95244E-02   -0.94221E-03    0.95709E-02     -5.6
18.10.48   18.41.32   -0.12283E-01    0.69433E-02    0.14110E-01    150.5
18.10.56   18.41.39   -0.60261E-02   -0.24731E-01    0.25454E-01   -103.7
18.11.04   18.41.47   -0.13416E-01   -0.11722E-01    0.17816E-01   -138.9
18.11.12   18.41.55    0.12795E-01   -0.12171E-01    0.17660E-01    -43.6
18.11.20   18.42.03   -0.45059E-02   -0.13191E-02    0.46950E-02   -163.7
18.11.28   18.42.11    0.88894E-02   -0.12545E-01    0.15375E-01    -54.7
18.11.36   18.42.19    0.30414E-02   -0.21082E-01    0.21300E-01    -81.8
18.11.44   18.42.27    0.43538E-02    0.62457E-02    0.76135E-02     55.1
18.11.52   18.42.35    0.12253E-01   -0.13125E-01    0.17955E-01    -47.0
18.12.00   18.42.43    0.99528E-03    0.26406E-01    0.26424E-01     87.8
18.12.08   18.42.51    0.15923E-01   -0.44350E-02    0.16529E-01    -15.6
18.12.16   18.42.59    0.11829E-02    0.33011E-02    0.35066E-02     70.3
18.12.24   18.43.07   -0.23221E-02   -0.10718E-01    0.10966E-01   -102.2
18.12.32   18.43.15    0.10141E-01    0.85614E-02    0.13272E-01     40.2
18.12.40   18.43.23   -0.83062E-02   -0.54953E-02    0.99594E-02   -146.5
18.12.48   18.43.31   -0.52693E-02   -0.40915E-02    0.66713E-02   -142.2
18.12.56   18.43.39    0.20315E-01   -0.78727E-02    0.21787E-01    -21.2
18.13.04   18.43.47    0.20555E-01    0.12176E-01    0.23891E-01     30.6
18.13.12   18.43.55   -0.15802E-02   -0.14685E-02    0.21571E-02   -137.1
18.13.20   18.44.03    0.13444E-01    0.76148E-02    0.15451E-01     29.5
18.13.28   18.44.11    0.11159E-01   -0.88720E-02    0.14256E-01    -38.5
18.13.36   18.44.19    0.60267E-02   -0.44787E-02    0.75086E-02    -36.6
18.13.44   18.44.27    0.33721E-01   -0.10680E-01    0.35371E-01    -17.6
18.13.52   18.44.35    0.24003E-01   -0.23714E-01    0.33742E-01    -44.7
18.14.00   18.44.43    0.52763E-02    0.82063E-02    0.97561E-02     57.3
18.14.08   18.44.51    0.10788E-01    0.32425E-02    0.11265E-01     16.7
18.14.16   18.44.59   -0.33285E-02    0.75033E-03    0.34120E-02    167.3
18.14.24   18.45.07    0.16344E-02    0.19397E-01    0.19466E-01     85.2
18.14.32   18.45.15    0.15745E-02   -0.12844E-01    0.12940E-01    -83.0
18.14.40   18.45.23    0.18499E-01    0.91458E-03    0.18521E-01      2.8
18.14.48   18.45.31    0.13738E-01    0.29113E-02    0.14043E-01     12.0
18.14.56   18.45.39    0.15359E-01    0.43855E-02    0.15972E-01     15.9
18.15.04   18.45.47    0.51179E-02   -0.53016E-02    0.73689E-02    -46.0
18.15.12   18.45.55   -0.42993E-02   -0.61862E-02    0.75335E-02   -124.8
18.15.20   18.46.03    0.16334E-01   -0.61737E-02    0.17462E-01    -20.7
18.15.28   18.46.11    0.10188E-02    0.70476E-02    0.71209E-02     81.8
18.15.36   18.46.19   -0.83616E-02    0.14715E-01    0.16925E-01    119.6
18.15.44   18.46.27    0.97641E-04    0.98525E-02    0.98530E-02     89.4
18.15.52   18.46.35    0.11543E-02   -0.34873E-02    0.36734E-02    -71.7
18.16.00   18.46.43    0.63821E-02    0.19798E-01    0.20802E-01     72.1
18.16.08   18.46.51    0.14253E-01    0.12560E-01    0.18998E-01     41.4
18.16.16   18.46.59    0.90046E-02    0.31417E-02    0.95369E-02     19.2
18.16.24   18.47.07   -0.73152E-03    0.18779E-01    0.18794E-01     92.2
18.16.32   18.47.15   -0.37742E-02   -0.73354E-02    0.82494E-02   -117.2
18.16.40   18.47.23    0.20811E-02   -0.44113E-03    0.21273E-02    -12.0
18.16.48   18.47.31    0.54602E-02    0.66810E-02    0.86284E-02     50.7
18.16.56   18.47.38   -0.28751E-02   -0.10863E-01    0.11237E-01   -104.8
18.17.04   18.47.46    0.16142E-01    0.16055E-01    0.22767E-01     44.8
18.17.12   18.47.54    0.10764E-01   -0.15264E-01    0.18678E-01    -54.8
18.17.20   18.48.02    0.11131E-01   -0.28829E-02    0.11498E-01    -14.5
18.17.28   18.48.10    0.19283E-01    0.57500E-02    0.20122E-01     16.6
18.17.36   18.48.18   -0.28961E-02    0.19854E-01    0.20065E-01     98.3
18.17.44   18.48.26    0.73893E-02   -0.11336E-02    0.74758E-02     -8.7
18.17.52   18.48.34    0.17909E-01    0.16897E-01    0.24622E-01     43.3
18.18.00   18.48.42    0.94280E-02   -0.75104E-03    0.94579E-02     -4.6
18.18.08   18.48.50    0.79937E-02    0.44096E-03    0.80059E-02      3.2
18.18.16   18.48.58   -0.40069E-02   -0.27991E-02    0.48878E-02   -145.1
18.18.24   18.49.06    0.79001E-02   -0.64251E-02    0.10183E-01    -39.1
18.18.32   18.49.14    0.78731E-02   -0.56511E-02    0.96913E-02    -35.7
18.18.40   18.49.22    0.10338E-01    0.99927E-03    0.10386E-01      5.5
18.18.48   18.49.30   -0.82109E-02    0.15222E-01    0.17296E-01    118.3
18.18.56   18.49.38    0.14799E-01    0.10898E-01    0.18379E-01     36.4
18.19.04   18.49.46    0.31374E-01    0.10456E-01    0.33071E-01     18.4
18.19.12   18.49.54    0.15420E-02   -0.14821E-01    0.14901E-01    -84.1
18.19.20   18.50.02   -0.80393E-02   -0.13026E-01    0.15307E-01   -121.7
18.19.28   18.50.10   -0.31963E-02    0.13216E-01    0.13597E-01    103.6
18.19.36   18.50.18    0.67178E-02   -0.62945E-04    0.67181E-02     -0.5
18.19.44   18.50.26    0.89446E-02    0.78478E-02    0.11899E-01     41.3
18.19.52   18.50.34    0.15774E-01    0.33994E-01    0.37476E-01     65.1
18.20.00   18.50.42    0.81108E-02   -0.39405E-02    0.90173E-02    -25.9
18.20.08   18.50.50    0.41269E-02    0.24810E-01    0.25151E-01     80.6
